,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2635704,Andaman and Nicobar Islands,2020-02-15,1.0,-9.0,5.0,-2.0,6.0,2.0
2635705,Andaman and Nicobar Islands,2020-02-16,0.0,-6.0,1.0,2.0,4.0,
2635706,Andaman and Nicobar Islands,2020-02-17,-1.0,2.0,5.0,1.0,6.0,1.0
2635707,Andaman and Nicobar Islands,2020-02-18,-2.0,12.0,-4.0,-1.0,4.0,3.0
2635708,Andaman and Nicobar Islands,2020-02-19,-5.0,9.0,-6.0,2.0,4.0,1.0
2635709,Andaman and Nicobar Islands,2020-02-20,-2.0,-4.0,3.0,-1.0,1.0,1.0
2635710,Andaman and Nicobar Islands,2020-02-21,-1.0,-9.0,1.0,1.0,-9.0,4.0
2635711,Andaman and Nicobar Islands,2020-02-22,-4.0,-16.0,2.0,-3.0,0.0,1.0
2635712,Andaman and Nicobar Islands,2020-02-23,-6.0,-6.0,-6.0,1.0,3.0,
2635713,Andaman and Nicobar Islands,2020-02-24,-3.0,-19.0,-2.0,8.0,4.0,0.0
2635714,Andaman and Nicobar Islands,2020-02-25,-2.0,-2.0,-5.0,3.0,3.0,2.0
2635715,Andaman and Nicobar Islands,2020-02-26,-6.0,-14.0,-5.0,1.0,3.0,0.0
2635716,Andaman and Nicobar Islands,2020-02-27,-4.0,-14.0,-7.0,0.0,1.0,1.0
2635717,Andaman and Nicobar Islands,2020-02-28,-2.0,-21.0,-13.0,0.0,5.0,1.0
2635718,Andaman and Nicobar Islands,2020-02-29,-1.0,-19.0,-5.0,-5.0,5.0,1.0
2635719,Andaman and Nicobar Islands,2020-03-01,-8.0,-15.0,-14.0,-9.0,-3.0,
2635720,Andaman and Nicobar Islands,2020-03-02,-2.0,-17.0,-2.0,-3.0,6.0,0.0
2635721,Andaman and Nicobar Islands,2020-03-03,-12.0,-18.0,-6.0,-6.0,4.0,2.0
2635722,Andaman and Nicobar Islands,2020-03-04,-7.0,-14.0,-2.0,-1.0,4.0,2.0
2635723,Andaman and Nicobar Islands,2020-03-05,-6.0,-20.0,0.0,0.0,3.0,1.0
2635724,Andaman and Nicobar Islands,2020-03-06,-7.0,-25.0,-4.0,0.0,3.0,2.0
2635725,Andaman and Nicobar Islands,2020-03-07,-13.0,-26.0,-3.0,-6.0,6.0,1.0
2635726,Andaman and Nicobar Islands,2020-03-08,-17.0,-15.0,-8.0,-9.0,-4.0,
2635727,Andaman and Nicobar Islands,2020-03-09,-8.0,-17.0,0.0,-3.0,-6.0,2.0
2635728,Andaman and Nicobar Islands,2020-03-10,-36.0,-38.0,-12.0,-19.0,-56.0,13.0
2635729,Andaman and Nicobar Islands,2020-03-11,-14.0,-16.0,-8.0,-1.0,0.0,0.0
2635730,Andaman and Nicobar Islands,2020-03-12,-9.0,-12.0,-7.0,-2.0,1.0,2.0
2635731,Andaman and Nicobar Islands,2020-03-13,-10.0,-19.0,-10.0,-3.0,4.0,2.0
2635732,Andaman and Nicobar Islands,2020-03-14,-16.0,-19.0,-4.0,-7.0,-7.0,6.0
2635733,Andaman and Nicobar Islands,2020-03-15,-27.0,-32.0,-15.0,-9.0,-3.0,
2635734,Andaman and Nicobar Islands,2020-03-16,-18.0,-11.0,-10.0,-7.0,-1.0,2.0
2635735,Andaman and Nicobar Islands,2020-03-17,-24.0,-20.0,-25.0,-13.0,-4.0,4.0
2635736,Andaman and Nicobar Islands,2020-03-18,-21.0,-20.0,-31.0,-14.0,-9.0,1.0
2635737,Andaman and Nicobar Islands,2020-03-19,-16.0,-4.0,-21.0,-14.0,-7.0,1.0
2635738,Andaman and Nicobar Islands,2020-03-20,-50.0,-43.0,-50.0,-31.0,-29.0,12.0
2635739,Andaman and Nicobar Islands,2020-03-21,-57.0,-45.0,-49.0,-40.0,-34.0,16.0
2635740,Andaman and Nicobar Islands,2020-03-22,-80.0,-85.0,-68.0,-61.0,-41.0,
2635741,Andaman and Nicobar Islands,2020-03-23,-61.0,-43.0,-60.0,-45.0,-44.0,21.0
2635742,Andaman and Nicobar Islands,2020-03-24,-67.0,-48.0,-62.0,-46.0,-52.0,23.0
2635743,Andaman and Nicobar Islands,2020-03-25,-80.0,-76.0,-68.0,-64.0,-63.0,
2635744,Andaman and Nicobar Islands,2020-03-26,-80.0,-80.0,-65.0,-63.0,-66.0,
2635745,Andaman and Nicobar Islands,2020-03-27,-78.0,-79.0,-70.0,-66.0,-63.0,
2635746,Andaman and Nicobar Islands,2020-03-28,-75.0,-74.0,-67.0,-66.0,-57.0,
2635747,Andaman and Nicobar Islands,2020-03-29,-68.0,-63.0,-57.0,-59.0,-28.0,
2635748,Andaman and Nicobar Islands,2020-03-30,-69.0,-60.0,-62.0,-61.0,-56.0,29.0
2635749,Andaman and Nicobar Islands,2020-03-31,-72.0,-64.0,-64.0,-60.0,-56.0,29.0
2635750,Andaman and Nicobar Islands,2020-04-01,-75.0,-65.0,-67.0,-63.0,-58.0,
2635751,Andaman and Nicobar Islands,2020-04-02,-74.0,-67.0,-67.0,-64.0,-57.0,
2635752,Andaman and Nicobar Islands,2020-04-03,-76.0,-70.0,-65.0,-64.0,-57.0,
2635753,Andaman and Nicobar Islands,2020-04-04,-76.0,-72.0,-67.0,-65.0,-49.0,
2635754,Andaman and Nicobar Islands,2020-04-05,-76.0,-79.0,-65.0,-64.0,-24.0,
2635755,Andaman and Nicobar Islands,2020-04-06,-75.0,,-67.0,-67.0,-56.0,31.0
2635756,Andaman and Nicobar Islands,2020-04-07,-81.0,,-71.0,-77.0,-56.0,31.0
2635757,Andaman and Nicobar Islands,2020-04-08,-83.0,,-72.0,-78.0,-54.0,29.0
2635758,Andaman and Nicobar Islands,2020-04-09,-82.0,,-71.0,-77.0,-55.0,29.0
2635759,Andaman and Nicobar Islands,2020-04-10,-83.0,,-70.0,-78.0,-62.0,
2635760,Andaman and Nicobar Islands,2020-04-11,-84.0,,-70.0,-79.0,-48.0,
2635761,Andaman and Nicobar Islands,2020-04-12,-83.0,,-69.0,-78.0,-24.0,
2635762,Andaman and Nicobar Islands,2020-04-13,-80.0,,-70.0,-77.0,-50.0,28.0
2635763,Andaman and Nicobar Islands,2020-04-14,-83.0,,-72.0,-77.0,-62.0,
2635764,Andaman and Nicobar Islands,2020-04-15,-82.0,,-69.0,-75.0,-51.0,27.0
2635765,Andaman and Nicobar Islands,2020-04-16,-87.0,,-69.0,-79.0,-52.0,29.0
2635766,Andaman and Nicobar Islands,2020-04-17,-86.0,,-70.0,-80.0,-49.0,31.0
2635767,Andaman and Nicobar Islands,2020-04-18,-88.0,,-72.0,-82.0,-46.0,
2635768,Andaman and Nicobar Islands,2020-04-19,-87.0,,-71.0,-83.0,-25.0,
2635769,Andaman and Nicobar Islands,2020-04-20,-86.0,,-72.0,-80.0,-49.0,29.0
2635770,Andaman and Nicobar Islands,2020-04-21,-88.0,,-71.0,-82.0,-52.0,30.0
2635771,Andaman and Nicobar Islands,2020-04-22,-88.0,,-73.0,-81.0,-51.0,29.0
2635772,Andaman and Nicobar Islands,2020-04-23,-88.0,,-71.0,-82.0,-52.0,30.0
2635773,Andaman and Nicobar Islands,2020-04-24,-88.0,,-73.0,-82.0,-50.0,30.0
2635774,Andaman and Nicobar Islands,2020-04-25,-92.0,,-74.0,-86.0,-55.0,
2635775,Andaman and Nicobar Islands,2020-04-26,-91.0,,-72.0,-85.0,-28.0,
2635776,Andaman and Nicobar Islands,2020-04-27,-87.0,,-75.0,-81.0,-49.0,30.0
2635777,Andaman and Nicobar Islands,2020-04-28,-88.0,,-71.0,-81.0,-50.0,29.0
2635778,Andaman and Nicobar Islands,2020-04-29,-91.0,,-72.0,-81.0,-54.0,32.0
2635779,Andaman and Nicobar Islands,2020-04-30,-86.0,,-70.0,-80.0,-48.0,30.0
2635780,Andaman and Nicobar Islands,2020-05-01,-88.0,,-74.0,-82.0,-51.0,31.0
2635781,Andaman and Nicobar Islands,2020-05-02,-92.0,,-73.0,-83.0,-49.0,
2635782,Andaman and Nicobar Islands,2020-05-03,-91.0,,-74.0,-84.0,-24.0,
2635783,Andaman and Nicobar Islands,2020-05-04,-85.0,,-71.0,-80.0,-41.0,27.0
2635784,Andaman and Nicobar Islands,2020-05-05,-85.0,,-70.0,-79.0,-43.0,27.0
2635785,Andaman and Nicobar Islands,2020-05-06,-89.0,,-68.0,-81.0,-46.0,30.0
2635786,Andaman and Nicobar Islands,2020-05-07,-84.0,,-69.0,-77.0,-52.0,29.0
2635787,Andaman and Nicobar Islands,2020-05-08,-83.0,,-69.0,-74.0,-35.0,25.0
2635788,Andaman and Nicobar Islands,2020-05-09,-87.0,,-71.0,-78.0,-38.0,27.0
2635789,Andaman and Nicobar Islands,2020-05-10,-90.0,,-73.0,-83.0,-25.0,
2635790,Andaman and Nicobar Islands,2020-05-11,-82.0,,-74.0,-77.0,-36.0,25.0
2635791,Andaman and Nicobar Islands,2020-05-12,-84.0,,-76.0,-77.0,-40.0,25.0
2635792,Andaman and Nicobar Islands,2020-05-13,-86.0,,-74.0,-74.0,-37.0,23.0
2635793,Andaman and Nicobar Islands,2020-05-14,-86.0,,-69.0,-70.0,-37.0,22.0
2635794,Andaman and Nicobar Islands,2020-05-15,-83.0,,-69.0,-68.0,-31.0,24.0
2635795,Andaman and Nicobar Islands,2020-05-16,-83.0,,-70.0,-68.0,-28.0,24.0
2635796,Andaman and Nicobar Islands,2020-05-17,-90.0,,-72.0,-80.0,-20.0,
2635797,Andaman and Nicobar Islands,2020-05-18,-79.0,,-70.0,-62.0,-26.0,22.0
2635798,Andaman and Nicobar Islands,2020-05-19,-80.0,,-70.0,-61.0,-28.0,20.0
2635799,Andaman and Nicobar Islands,2020-05-20,-81.0,,-78.0,-50.0,-35.0,12.0
2635800,Andaman and Nicobar Islands,2020-05-21,-82.0,,-74.0,-55.0,-46.0,5.0
2635801,Andaman and Nicobar Islands,2020-05-22,-81.0,,-76.0,-51.0,-35.0,14.0
2635802,Andaman and Nicobar Islands,2020-05-23,-77.0,,-69.0,-38.0,-26.0,10.0
2635803,Andaman and Nicobar Islands,2020-05-24,-85.0,,-70.0,-57.0,-18.0,
2635804,Andaman and Nicobar Islands,2020-05-25,-78.0,,-68.0,-45.0,-51.0,17.0
2635805,Andaman and Nicobar Islands,2020-05-26,-77.0,,-68.0,-33.0,-24.0,9.0
2635806,Andaman and Nicobar Islands,2020-05-27,-77.0,,-68.0,-35.0,-28.0,6.0
2635807,Andaman and Nicobar Islands,2020-05-28,-76.0,,-70.0,-32.0,-22.0,13.0
2635808,Andaman and Nicobar Islands,2020-05-29,-76.0,,-67.0,-40.0,-21.0,16.0
2635809,Andaman and Nicobar Islands,2020-05-30,-74.0,,-70.0,-36.0,-17.0,17.0
2635810,Andaman and Nicobar Islands,2020-05-31,-79.0,,-64.0,-49.0,-6.0,
2635811,Andaman and Nicobar Islands,2020-06-01,-68.0,,-63.0,-24.0,-11.0,13.0
2635812,Andaman and Nicobar Islands,2020-06-02,-71.0,,-61.0,-27.0,-15.0,14.0
2635813,Andaman and Nicobar Islands,2020-06-03,-71.0,,-64.0,-22.0,-14.0,14.0
2635814,Andaman and Nicobar Islands,2020-06-04,-69.0,,-62.0,-21.0,-13.0,12.0
2635815,Andaman and Nicobar Islands,2020-06-05,-71.0,,-70.0,-24.0,-16.0,12.0
2635816,Andaman and Nicobar Islands,2020-06-06,-72.0,,-68.0,-29.0,-14.0,13.0
2635817,Andaman and Nicobar Islands,2020-06-07,-77.0,,-65.0,-38.0,-8.0,
2635818,Andaman and Nicobar Islands,2020-06-08,-64.0,,-65.0,-16.0,-7.0,11.0
2635819,Andaman and Nicobar Islands,2020-06-09,-73.0,,-67.0,-26.0,-12.0,12.0
2635820,Andaman and Nicobar Islands,2020-06-10,-65.0,,-62.0,-11.0,-10.0,9.0
2635821,Andaman and Nicobar Islands,2020-06-11,-62.0,,-61.0,-17.0,-10.0,12.0
2635822,Andaman and Nicobar Islands,2020-06-12,-64.0,,-63.0,-15.0,-9.0,12.0
2635823,Andaman and Nicobar Islands,2020-06-13,-61.0,,-63.0,-19.0,-15.0,12.0
2635824,Andaman and Nicobar Islands,2020-06-14,-69.0,,-58.0,-27.0,0.0,
2635825,Andaman and Nicobar Islands,2020-06-15,-60.0,,-65.0,-17.0,-11.0,12.0
2635826,Andaman and Nicobar Islands,2020-06-16,-67.0,,-65.0,-18.0,-13.0,12.0
2635827,Andaman and Nicobar Islands,2020-06-17,-64.0,,-65.0,-15.0,-15.0,12.0
2635828,Andaman and Nicobar Islands,2020-06-18,-64.0,,-62.0,-20.0,-15.0,11.0
2635829,Andaman and Nicobar Islands,2020-06-19,-61.0,,-63.0,-21.0,-12.0,12.0
2635830,Andaman and Nicobar Islands,2020-06-20,-57.0,,-63.0,-20.0,-13.0,11.0
2635831,Andaman and Nicobar Islands,2020-06-21,-67.0,,-64.0,-36.0,-5.0,
2635832,Andaman and Nicobar Islands,2020-06-22,-55.0,,-61.0,-16.0,-9.0,10.0
2635833,Andaman and Nicobar Islands,2020-06-23,-54.0,,-61.0,-15.0,-11.0,12.0
2635834,Andaman and Nicobar Islands,2020-06-24,-57.0,,-60.0,-10.0,-10.0,10.0
2635835,Andaman and Nicobar Islands,2020-06-25,-58.0,,-60.0,-15.0,-10.0,11.0
2635836,Andaman and Nicobar Islands,2020-06-26,-56.0,,-60.0,-17.0,-10.0,11.0
2635837,Andaman and Nicobar Islands,2020-06-27,-57.0,,-61.0,-20.0,-14.0,13.0
2635838,Andaman and Nicobar Islands,2020-06-28,-71.0,,-61.0,-34.0,-8.0,
2635839,Andaman and Nicobar Islands,2020-06-29,-63.0,,-63.0,-25.0,-10.0,12.0
2635840,Andaman and Nicobar Islands,2020-06-30,-48.0,,-61.0,-18.0,-12.0,10.0
2635841,Andaman and Nicobar Islands,2020-07-01,-51.0,,-57.0,-16.0,-12.0,9.0
2635842,Andaman and Nicobar Islands,2020-07-02,-51.0,,-61.0,-19.0,-12.0,13.0
2635843,Andaman and Nicobar Islands,2020-07-03,-54.0,,-65.0,-22.0,-9.0,15.0
2635844,Andaman and Nicobar Islands,2020-07-04,-47.0,,-59.0,-18.0,-9.0,13.0
2635845,Andaman and Nicobar Islands,2020-07-05,-61.0,,-58.0,-32.0,-4.0,
2635846,Andaman and Nicobar Islands,2020-07-06,-47.0,,-57.0,-16.0,-8.0,10.0
2635847,Andaman and Nicobar Islands,2020-07-07,-51.0,,-58.0,-19.0,-10.0,13.0
2635848,Andaman and Nicobar Islands,2020-07-08,-56.0,,-61.0,-18.0,-10.0,12.0
2635849,Andaman and Nicobar Islands,2020-07-09,-49.0,,-57.0,-18.0,-12.0,11.0
2635850,Andaman and Nicobar Islands,2020-07-10,-47.0,,-57.0,-16.0,-9.0,11.0
2635851,Andaman and Nicobar Islands,2020-07-11,-52.0,,-58.0,-23.0,-18.0,11.0
2635852,Andaman and Nicobar Islands,2020-07-12,-63.0,,-58.0,-34.0,-5.0,
2635853,Andaman and Nicobar Islands,2020-07-13,-48.0,,-63.0,-23.0,-10.0,13.0
2635854,Andaman and Nicobar Islands,2020-07-14,-52.0,,-59.0,-21.0,-12.0,12.0
2635855,Andaman and Nicobar Islands,2020-07-15,-46.0,,-55.0,-7.0,-9.0,11.0
2635856,Andaman and Nicobar Islands,2020-07-16,-48.0,,-56.0,-14.0,-11.0,11.0
2635857,Andaman and Nicobar Islands,2020-07-17,-50.0,,-56.0,-21.0,-12.0,12.0
2635858,Andaman and Nicobar Islands,2020-07-18,-44.0,,-59.0,-19.0,-12.0,10.0
2635859,Andaman and Nicobar Islands,2020-07-19,-59.0,,-49.0,-28.0,-5.0,
2635860,Andaman and Nicobar Islands,2020-07-20,-40.0,,-52.0,-11.0,-6.0,9.0
2635861,Andaman and Nicobar Islands,2020-07-21,-48.0,,-56.0,-14.0,-11.0,12.0
2635862,Andaman and Nicobar Islands,2020-07-22,-50.0,,-58.0,-13.0,-10.0,12.0
2635863,Andaman and Nicobar Islands,2020-07-23,-50.0,,-56.0,-13.0,-12.0,11.0
2635864,Andaman and Nicobar Islands,2020-07-24,-45.0,,-58.0,-12.0,-10.0,12.0
2635865,Andaman and Nicobar Islands,2020-07-25,-46.0,,-55.0,-14.0,-14.0,13.0
2635866,Andaman and Nicobar Islands,2020-07-26,-61.0,,-50.0,-26.0,-6.0,
2635867,Andaman and Nicobar Islands,2020-07-27,-46.0,,-59.0,-14.0,-13.0,14.0
2635868,Andaman and Nicobar Islands,2020-07-28,-47.0,,-61.0,-18.0,-20.0,14.0
2635869,Andaman and Nicobar Islands,2020-07-29,-50.0,,-63.0,-19.0,-20.0,16.0
2635870,Andaman and Nicobar Islands,2020-07-30,-54.0,,-61.0,-28.0,-23.0,18.0
2635871,Andaman and Nicobar Islands,2020-07-31,-48.0,,-62.0,-26.0,-27.0,19.0
2635872,Andaman and Nicobar Islands,2020-08-01,-91.0,,-75.0,-68.0,-68.0,
2635873,Andaman and Nicobar Islands,2020-08-02,-92.0,,-74.0,-67.0,-47.0,
2635874,Andaman and Nicobar Islands,2020-08-03,-51.0,,-73.0,-39.0,-39.0,19.0
2635875,Andaman and Nicobar Islands,2020-08-04,-62.0,,-72.0,-46.0,-42.0,24.0
2635876,Andaman and Nicobar Islands,2020-08-05,-76.0,,-69.0,-54.0,-48.0,27.0
2635877,Andaman and Nicobar Islands,2020-08-06,-75.0,,-67.0,-52.0,-50.0,29.0
2635878,Andaman and Nicobar Islands,2020-08-07,-76.0,,-70.0,-55.0,-49.0,29.0
2635879,Andaman and Nicobar Islands,2020-08-08,-90.0,,-76.0,-67.0,-64.0,
2635880,Andaman and Nicobar Islands,2020-08-09,-87.0,,-75.0,-64.0,-37.0,
2635881,Andaman and Nicobar Islands,2020-08-10,-64.0,,-64.0,-35.0,-37.0,25.0
2635882,Andaman and Nicobar Islands,2020-08-11,-66.0,,-65.0,-36.0,-42.0,28.0
2635883,Andaman and Nicobar Islands,2020-08-12,-73.0,,-65.0,-34.0,-46.0,30.0
2635884,Andaman and Nicobar Islands,2020-08-13,-73.0,,-64.0,-37.0,-46.0,31.0
2635885,Andaman and Nicobar Islands,2020-08-14,-65.0,,-62.0,-37.0,-39.0,30.0
2635886,Andaman and Nicobar Islands,2020-08-15,-87.0,,-68.0,-53.0,-54.0,
2635887,Andaman and Nicobar Islands,2020-08-16,-85.0,,-68.0,-54.0,-26.0,
2635888,Andaman and Nicobar Islands,2020-08-17,,,,,-37.0,28.0
2635889,Andaman and Nicobar Islands,2020-08-18,,,,,-40.0,30.0
2635890,Andaman and Nicobar Islands,2020-08-19,,,,,-34.0,26.0
2635891,Andaman and Nicobar Islands,2020-08-20,,,,,-38.0,28.0
2635892,Andaman and Nicobar Islands,2020-08-21,,,,,-35.0,26.0
2635893,Andaman and Nicobar Islands,2020-08-22,,,,,-52.0,
2635894,Andaman and Nicobar Islands,2020-08-24,,,,,-27.0,25.0
2635895,Andaman and Nicobar Islands,2020-08-25,,,,,-25.0,26.0
2635896,Andaman and Nicobar Islands,2020-08-26,,,,,-20.0,22.0
2635897,Andaman and Nicobar Islands,2020-08-27,,,,,-22.0,24.0
2635898,Andaman and Nicobar Islands,2020-08-28,,,,,-15.0,20.0
2635899,Andaman and Nicobar Islands,2020-08-29,,,,,-49.0,
2635900,Andaman and Nicobar Islands,2020-08-31,,,,,-39.0,27.0
2635901,Andaman and Nicobar Islands,2020-09-01,,,,,-6.0,18.0
2635902,Andaman and Nicobar Islands,2020-09-02,,,,,-3.0,16.0
2635903,Andaman and Nicobar Islands,2020-09-03,,,,,-6.0,18.0
2635904,Andaman and Nicobar Islands,2020-09-04,,,,,-3.0,17.0
2635905,Andaman and Nicobar Islands,2020-09-05,,,,,,18.0
2635906,Andaman and Nicobar Islands,2020-09-07,,,,,-1.0,17.0
2635907,Andaman and Nicobar Islands,2020-09-08,,,,,1.0,16.0
2635908,Andaman and Nicobar Islands,2020-09-09,,,,,0.0,15.0
2635909,Andaman and Nicobar Islands,2020-09-10,,,,,0.0,15.0
2635910,Andaman and Nicobar Islands,2020-09-11,-35.0,,-61.0,25.0,1.0,13.0
2635911,Andaman and Nicobar Islands,2020-09-12,-37.0,,-63.0,28.0,-6.0,14.0
2635912,Andaman and Nicobar Islands,2020-09-13,-52.0,,-52.0,12.0,4.0,
2635913,Andaman and Nicobar Islands,2020-09-14,-39.0,,-60.0,29.0,5.0,13.0
2635914,Andaman and Nicobar Islands,2020-09-15,-35.0,,-60.0,32.0,4.0,12.0
2635915,Andaman and Nicobar Islands,2020-09-16,-31.0,,-57.0,40.0,2.0,14.0
2635916,Andaman and Nicobar Islands,2020-09-17,-47.0,,-63.0,15.0,-2.0,17.0
2635917,Andaman and Nicobar Islands,2020-09-18,-39.0,,-64.0,19.0,5.0,17.0
2635918,Andaman and Nicobar Islands,2020-09-19,-43.0,,-67.0,14.0,2.0,20.0
2635919,Andaman and Nicobar Islands,2020-09-20,-50.0,,-55.0,7.0,15.0,
2635920,Andaman and Nicobar Islands,2020-09-21,-40.0,,-63.0,24.0,7.0,16.0
2635921,Andaman and Nicobar Islands,2020-09-22,-32.0,,-54.0,34.0,7.0,15.0
2635922,Andaman and Nicobar Islands,2020-09-23,-29.0,,-53.0,36.0,5.0,16.0
2635923,Andaman and Nicobar Islands,2020-09-24,-33.0,,-52.0,26.0,6.0,18.0
2635924,Andaman and Nicobar Islands,2020-09-25,-29.0,,-54.0,25.0,10.0,19.0
2635925,Andaman and Nicobar Islands,2020-09-26,-33.0,,-53.0,29.0,7.0,19.0
2635926,Andaman and Nicobar Islands,2020-09-27,-48.0,,-47.0,7.0,11.0,19.0
2635927,Andaman and Nicobar Islands,2020-09-28,-36.0,,-55.0,19.0,8.0,19.0
2635928,Andaman and Nicobar Islands,2020-09-29,-35.0,,-55.0,27.0,4.0,17.0
2635929,Andaman and Nicobar Islands,2020-09-30,-30.0,,-55.0,33.0,4.0,13.0
2635930,Andaman and Nicobar Islands,2020-10-01,-26.0,,-55.0,33.0,1.0,7.0
2635931,Andaman and Nicobar Islands,2020-10-02,-31.0,,-58.0,20.0,-39.0,16.0
2635932,Andaman and Nicobar Islands,2020-10-03,-31.0,,-64.0,23.0,-1.0,11.0
2635933,Andaman and Nicobar Islands,2020-10-04,-37.0,,-51.0,12.0,1.0,9.0
2635934,Andaman and Nicobar Islands,2020-10-05,-18.0,,-55.0,40.0,0.0,6.0
2635935,Andaman and Nicobar Islands,2020-10-06,-23.0,,-51.0,39.0,0.0,7.0
2635936,Andaman and Nicobar Islands,2020-10-07,-22.0,,-51.0,51.0,5.0,8.0
2635937,Andaman and Nicobar Islands,2020-10-08,-26.0,,-52.0,40.0,8.0,11.0
2635938,Andaman and Nicobar Islands,2020-10-09,-19.0,,-51.0,40.0,9.0,13.0
2635939,Andaman and Nicobar Islands,2020-10-10,-29.0,,-61.0,24.0,5.0,18.0
2635940,Andaman and Nicobar Islands,2020-10-11,-43.0,,-55.0,7.0,10.0,16.0
2635941,Andaman and Nicobar Islands,2020-10-12,-21.0,,-56.0,32.0,9.0,13.0
2635942,Andaman and Nicobar Islands,2020-10-13,-14.0,,-49.0,38.0,8.0,13.0
2635943,Andaman and Nicobar Islands,2020-10-14,-16.0,,-53.0,38.0,9.0,13.0
2635944,Andaman and Nicobar Islands,2020-10-15,-21.0,,-51.0,32.0,8.0,16.0
2635945,Andaman and Nicobar Islands,2020-10-16,-20.0,,-57.0,34.0,11.0,17.0
2635946,Andaman and Nicobar Islands,2020-10-17,-19.0,,-56.0,35.0,11.0,16.0
2635947,Andaman and Nicobar Islands,2020-10-18,-37.0,,-53.0,15.0,12.0,17.0
2635948,Andaman and Nicobar Islands,2020-10-19,-18.0,,-56.0,37.0,9.0,15.0
2635949,Andaman and Nicobar Islands,2020-10-20,-21.0,,-54.0,37.0,8.0,15.0
2635950,Andaman and Nicobar Islands,2020-10-21,-13.0,,-54.0,42.0,8.0,11.0
2635951,Andaman and Nicobar Islands,2020-10-22,-12.0,,-57.0,44.0,7.0,9.0
2635952,Andaman and Nicobar Islands,2020-10-23,-7.0,,-55.0,43.0,5.0,10.0
2635953,Andaman and Nicobar Islands,2020-10-24,-8.0,,-57.0,35.0,-1.0,11.0
2635954,Andaman and Nicobar Islands,2020-10-25,-18.0,,-45.0,28.0,18.0,9.0
2635955,Andaman and Nicobar Islands,2020-10-26,-20.0,,-52.0,21.0,-35.0,16.0
2635956,Andaman and Nicobar Islands,2020-10-27,-11.0,,-50.0,42.0,8.0,9.0
2635957,Andaman and Nicobar Islands,2020-10-28,-12.0,,-52.0,44.0,7.0,8.0
2635958,Andaman and Nicobar Islands,2020-10-29,-13.0,,-49.0,37.0,3.0,8.0
2635959,Andaman and Nicobar Islands,2020-10-30,-12.0,,-54.0,34.0,-2.0,11.0
2635960,Andaman and Nicobar Islands,2020-10-31,-19.0,,-50.0,28.0,-12.0,13.0
2635961,Andaman and Nicobar Islands,2020-11-01,-27.0,,-42.0,21.0,8.0,10.0
2635962,Andaman and Nicobar Islands,2020-11-02,-7.0,,-50.0,36.0,3.0,8.0
2635963,Andaman and Nicobar Islands,2020-11-03,-9.0,,-48.0,42.0,4.0,8.0
2635964,Andaman and Nicobar Islands,2020-11-04,-6.0,,-50.0,46.0,5.0,6.0
2635965,Andaman and Nicobar Islands,2020-11-05,-11.0,,-46.0,42.0,5.0,6.0
2635966,Andaman and Nicobar Islands,2020-11-06,-11.0,,-50.0,34.0,7.0,7.0
2635967,Andaman and Nicobar Islands,2020-11-07,-7.0,,-50.0,36.0,7.0,9.0
2635968,Andaman and Nicobar Islands,2020-11-08,-22.0,,-39.0,24.0,12.0,9.0
2635969,Andaman and Nicobar Islands,2020-11-09,-14.0,,-56.0,29.0,2.0,10.0
2635970,Andaman and Nicobar Islands,2020-11-10,-7.0,,-53.0,35.0,3.0,8.0
2635971,Andaman and Nicobar Islands,2020-11-11,5.0,,-49.0,43.0,3.0,5.0
2635972,Andaman and Nicobar Islands,2020-11-12,12.0,,-49.0,48.0,0.0,4.0
2635973,Andaman and Nicobar Islands,2020-11-13,16.0,,-51.0,48.0,-3.0,6.0
2635974,Andaman and Nicobar Islands,2020-11-14,-25.0,,-51.0,21.0,-39.0,15.0
2635975,Andaman and Nicobar Islands,2020-11-15,-26.0,,-36.0,16.0,2.0,10.0
2635976,Andaman and Nicobar Islands,2020-11-16,-4.0,,-44.0,37.0,0.0,7.0
2635977,Andaman and Nicobar Islands,2020-11-17,-7.0,,-44.0,41.0,2.0,5.0
2635978,Andaman and Nicobar Islands,2020-11-18,-11.0,,-45.0,46.0,6.0,5.0
2635979,Andaman and Nicobar Islands,2020-11-19,-12.0,,-39.0,42.0,6.0,6.0
2635980,Andaman and Nicobar Islands,2020-11-20,-10.0,,-43.0,37.0,3.0,8.0
2635981,Andaman and Nicobar Islands,2020-11-21,-6.0,,-47.0,36.0,7.0,7.0
2635982,Andaman and Nicobar Islands,2020-11-22,-30.0,,-44.0,13.0,4.0,9.0
2635983,Andaman and Nicobar Islands,2020-11-23,-9.0,,-46.0,35.0,5.0,6.0
2635984,Andaman and Nicobar Islands,2020-11-24,-12.0,,-44.0,43.0,0.0,8.0
2635985,Andaman and Nicobar Islands,2020-11-25,-7.0,,-43.0,46.0,4.0,6.0
2635986,Andaman and Nicobar Islands,2020-11-26,-11.0,,-43.0,41.0,3.0,6.0
2635987,Andaman and Nicobar Islands,2020-11-27,-11.0,,-42.0,35.0,7.0,7.0
2635988,Andaman and Nicobar Islands,2020-11-28,-20.0,,-50.0,22.0,5.0,13.0
