District,State,Population,Growth,Sex-Ratio,Literacy
Ballia,Uttar Pradesh,3239774,17.31%,937,70.94
Pratapgarh_2,Uttar Pradesh,3209141,17.50%,998,70.09
Thrissur,Kerala,3121200,4.94%,1108,95.08
Banaskantha,Gujarat,3120506,24.61%,938,65.32
Unnao,Uttar Pradesh,3108367,15.11%,907,66.37
Deoria,Uttar Pradesh,3100946,14.31%,1017,71.13
Kozhikode,Kerala,3086293,7.20%,1098,95.08
Mumbai City,Maharashtra,3085411,-7.57%,832,89.21
Tirunelveli,Tamil Nadu,3077233,12.97%,1023,82.5
Katihar,Bihar,3071029,28.35%,919,52.24
Udaipur,Rajasthan,3068420,23.69%,958,61.82
Madurai,Tamil Nadu,3038252,17.84%,990,83.45
Bhagalpur,Bihar,3037766,25.36%,880,63.14
Medak,Andhra Pradesh,3033288,13.60%,992,61.42
Uttar Dinajpur,West Bengal,3007134,23.15%,939,59.07
Shahjahanpur,Uttar Pradesh,3006538,18.00%,872,59.54
Satara,Maharashtra,3003741,6.93%,988,82.87
Mysore,Karnataka,3001127,13.63%,985,72.79
Begusarai,Bihar,2970541,26.44%,895,63.87
Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557,11.05%,985,68.9
Rohtas,Bihar,2959918,20.78%,918,73.37
Puruliya,West Bengal,2930115,15.52%,957,64.48
Ranchi,Jharkhand,2914253,23.98%,949,76.06
Amravati,Maharashtra,2888445,10.79%,951,87.38
YSR,Andhra Pradesh,2882469,10.79%,985,67.3
Bhavnagar,Gujarat,2880365,16.63%,933,75.52
Nalanda,Bihar,2877653,21.39%,922,64.43
Nagaon,Assam,2823768,22.00%,962,72.37
Sangli,Maharashtra,2822143,9.24%,966,81.48
Koch Bihar,West Bengal,2819086,13.71%,942,74.78
Araria,Bihar,2811569,30.25%,921,53.53
Palakkad,Kerala,2809934,7.35%,1067,89.31
Khammam,Andhra Pradesh,2797370,8.47%,1011,64.81
Yavatmal,Maharashtra,2772348,12.78%,952,82.82
Junagadh,Gujarat,2743082,12.05%,953,75.8
Adilabad,Andhra Pradesh,2741239,10.18%,1001,61.01
South Delhi,Delhi,2731929,20.51%,862,86.57
Bhojpur,Bihar,2728407,21.63%,907,70.47
Tiruchirappalli,Tamil Nadu,2722290,12.57%,1013,83.23
Srikakulam,Andhra Pradesh,2703114,6.52%,1015,61.74
Maharajganj,Uttar Pradesh,2684703,23.50%,943,62.76
Dhanbad,Jharkhand,2684487,11.99%,909,74.52
Tumkur,Karnataka,2678980,3.65%,984,75.14
Sikar,Rajasthan,2677333,17.03%,947,71.91
Bilaspur,Chhattisgarh,2663629,33.29%,971,70.78
Kollam,Kerala,2635375,1.94%,1113,94.09
Raigarh,Maharashtra,2634200,19.31%,959,83.14
Fatehpur,Uttar Pradesh,2632733,14.05%,901,67.43
Cuttack,Orissa,2624470,12.10%,940,85.5
Cuddalore,Tamil Nadu,2605914,14.02%,987,78.04
Barmer,Rajasthan,2603751,32.52%,902,56.53
Buldana,Maharashtra,2586258,15.85%,934,83.4
Bid,Maharashtra,2585049,19.61%,916,76.99
Ajmer,Rajasthan,2583052,18.40%,951,69.33
Gulbarga,Karnataka,2566326,18.01%,971,64.85
Gopalganj,Bihar,2562012,19.02%,1021,65.47
Siddharth Nagar,Uttar Pradesh,2559297,25.45%,976,59.25
Nizamabad,Andhra Pradesh,2551335,8.77%,1040,61.25
Bharatpur,Rajasthan,2548462,21.29%,880,70.11
Mathura,Uttar Pradesh,2547184,22.78%,863,70.36
West Delhi,Delhi,2543243,19.46%,875,86.98
Aurangabad_2,Bihar,2540073,26.18%,926,70.32
Kannur,Kerala,2523003,4.73%,1136,95.1
Mayurbhanj,Orissa,2519738,13.33%,1006,63.17
Firozabad,Uttar Pradesh,2498156,21.69%,875,71.92
Mirzapur,Uttar Pradesh,2496970,18.00%,903,68.48
Amritsar,Punjab,2490656,15.47%,889,76.27
Tiruppur,Tamil Nadu,2479052,29.11%,989,78.68
Faizabad,Uttar Pradesh,2470996,18.29%,962,68.73
Tiruvannamalai,Tamil Nadu,2464875,12.75%,994,74.21
Basti,Uttar Pradesh,2464464,18.21%,963,67.22
Jabalpur,Madhya Pradesh,2463289,14.51%,929,81.07
Latur,Maharashtra,2454196,17.97%,928,77.26
Bellary,Karnataka,2452595,20.99%,983,67.43
Giridih,Jharkhand,2445474,28.41%,944,63.14
Sabar Kantha,Gujarat,2428589,16.62%,952,75.79
Bhilwara,Rajasthan,2408523,19.60%,973,61.37
Thanjavur,Tamil Nadu,2405890,8.56%,1035,82.64
Ambedkar Nagar,Uttar Pradesh,2397888,18.30%,978,72.23
PanchMahal,Gujarat,2390776,18.05%,949,70.99
Sagar,Madhya Pradesh,2378458,17.63%,893,76.46
Bhopal,Madhya Pradesh,2371061,28.62%,918,80.37
Rewa,Madhya Pradesh,2365106,19.86%,931,71.62
Bikaner,Rajasthan,2363937,41.19%,905,65.13
Surguja,Chhattisgarh,2359886,19.66%,978,60.01
Vizianagaram,Andhra Pradesh,2344474,4.23%,1019,58.89
Rampur,Uttar Pradesh,2335819,21.42%,909,53.34
Baleshwar,Orissa,2320529,14.62%,957,79.79
Kheda,Gujarat,2299885,13.62%,940,82.65
Gurdaspur,Punjab,2298323,9.26%,895,79.95
Purbi Singhbhum,Jharkhand,2293919,15.68%,949,75.49
South West Delhi,Delhi,2292958,30.65%,840,88.28
Erode,Tamil Nadu,2251744,11.66%,993,72.58
Khordha,Orissa,2251673,19.94%,929,86.88
North East Delhi,Delhi,2241624,26.78%,886,83.09
Supaul,Bihar,2229076,28.66%,929,57.67
Satna,Madhya Pradesh,2228935,19.19%,926,72.26
Nawada,Bihar,2219146,22.63%,939,59.76
Mau,Uttar Pradesh,2205968,18.98%,979,73.09
Chandrapur,Maharashtra,2204307,6.43%,961,80.01
Jalandhar,Punjab,2193590,11.76%,915,82.48
Dhar,Madhya Pradesh,2185793,25.60%,964,59
Bijapur_2,Karnataka,2177331,20.50%,960,67.15
Jamnagar,Gujarat,2160119,13.44%,939,73.65
Dindigul,Tamil Nadu,2159775,12.31%,998,76.26
Balrampur,Uttar Pradesh,2148665,27.72%,928,49.51
Jhunjhunun,Rajasthan,2137045,11.67%,950,74.13
Alappuzha,Kerala,2127789,0.88%,1100,95.72
Dohad,Gujarat,2127086,29.98%,990,58.82
Sundargarh,Orissa,2093437,14.35%,973,73.34
Anand,Gujarat,2092745,12.70%,925,84.37
Kachchh,Gujarat,2092371,32.16%,908,70.59
Chhindwara,Madhya Pradesh,2090922,13.07%,964,71.16
Dakshina Kannada,Karnataka,2089649,10.11%,1020,88.57
Bokaro,Jharkhand,2062330,16.01%,922,72.01
Dhule,Maharashtra,2050862,20.08%,946,72.8
Churu,Rajasthan,2039547,6.01%,940,66.75
Pali,Rajasthan,2037573,11.94%,987,62.39
Mahesana,Gujarat,2035064,10.73%,926,83.61
Banka,Bihar,2034763,26.48%,907,58.17
Gwalior,Madhya Pradesh,2032036,24.50%,864,76.65
Pilibhit,Uttar Pradesh,2031007,23.45%,895,61.47
Firozpur,Punjab,2029074,16.21%,893,68.92
Madhepura,Bihar,2001762,31.12%,911,52.25
Jhansi,Uttar Pradesh,1998603,14.54%,890,75.05
Ujjain,Madhya Pradesh,1986864,16.12%,955,72.34
Kottayam,Kerala,1974551,1.07%,1039,97.21
Ganganagar,Rajasthan,1969168,10.04%,887,69.64
Morena,Madhya Pradesh,1965970,23.44%,840,71.03
Jalna,Maharashtra,1959046,21.46%,937,71.52
Chandauli,Uttar Pradesh,1952756,18.83%,918,71.48
Kota,Rajasthan,1951014,24.39%,911,76.56
Dhubri,Assam,1949258,24.44%,953,58.34
Davanagere,Karnataka,1945497,8.63%,972,75.74
Virudhunagar,Tamil Nadu,1942288,10.91%,1007,80.15
Palamu,Jharkhand,1939869,26.17%,928,63.63
Raichur,Karnataka,1928812,15.51%,1000,59.56
Sonitpur,Assam,1924110,15.55%,956,67.34
Saharsa,Bihar,1900661,26.02%,906,53.2
Patiala,Punjab,1895686,19.62%,891,75.28
Haridwar,Uttarakhand,1890422,30.63%,880,73.43
Bagalkot,Karnataka,1889752,14.40%,989,68.82
Farrukhabad,Uttar Pradesh,1885204,20.05%,874,69.04
Krishnagiri,Tamil Nadu,1879809,20.41%,958,71.46
West Nimar,Madhya Pradesh,1873046,22.85%,965,62.7
Kanniyakumari,Tamil Nadu,1870374,11.60%,1019,91.75
Mainpuri,Uttar Pradesh,1868529,17.02%,881,75.99
